Temperatura (°C),Hidrogeno,pH,ORP,Conductividad,Metano 
19.5084375,3.5913086,2.5317383,1.0742188,1.4208984,3.4277344
19.65492188,3.6401367,2.536621,1.0791016,1.4379883,3.5351562
19.70375,3.647461,2.536621,1.0766602,1.4208984,3.5742188
19.75257813,3.5913086,2.536621,1.0766602,1.4208984,3.527832
19.75257813,3.630371,2.5341797,1.0693359,1.4233398,3.569336
19.70375,3.6035156,2.536621,1.0742188,1.4208984,3.5424805
19.80140625,3.6083984,2.5292969,1.0742188,1.4208984,3.5595703
19.80140625,3.6450195,2.5341797,1.0742188,1.4233398,3.5888672
19.75257813,3.647461,2.5292969,1.0742188,1.4233398,3.5913086
19.75257813,3.6547852,2.5439453,1.0742188,1.4208984,3.6010742
19.8990625,3.6743164,2.5390625,1.0766602,1.418457,3.6083984
19.85023438,3.6791992,2.5390625,1.0766602,1.4233398,3.618164
19.80140625,3.684082,2.541504,1.0766602,1.4233398,3.6279297
19.8990625,3.6865234,2.536621,1.0742188,1.4208984,3.6376953
20.04554688,3.7158203,2.5390625,1.0766602,1.4233398,3.6376953
19.94789063,3.6914062,2.5390625,1.0766602,1.4208984,3.6425781
19.94789063,3.6865234,2.541504,1.0766602,1.4208984,3.635254
19.94789063,3.6914062,2.5390625,1.0766602,1.4208984,3.6425781
19.94789063,3.6865234,2.5463867,1.0791016,1.4208984,3.6376953
20.094375,3.6914062,2.5390625,1.0791016,1.4208984,3.6376953
20.04554688,3.6743164,2.536621,1.0791016,1.4208984,3.6279297
20.094375,3.7207031,2.536621,1.0766602,1.4208984,3.6401367
20.04554688,3.684082,2.536621,1.0791016,1.4208984,3.6376953
19.94789063,3.6914062,2.5341797,1.0791016,1.4208984,3.6450195
19.99671875,3.7109375,2.536621,1.0791016,1.4233398,3.6376953
20.04554688,3.6547852,2.5341797,1.081543,1.4233398,3.6035156
19.94789063,3.6572266,2.5463867,1.0791016,1.4208984,3.6083984
19.99671875,3.647461,2.5341797,1.081543,1.4208984,3.5791016
19.94789063,3.6376953,2.5390625,1.081543,1.4208984,3.5864258
19.8990625,3.6401367,2.5292969,1.081543,1.4208984,3.581543
19.8990625,3.647461,2.536621,1.0839844,1.4208984,3.5913086
19.85023438,3.6157227,2.5390625,1.0839844,1.4233398,3.5742188
19.85023438,3.6108398,2.5341797,1.0839844,1.418457,3.5717773
19.80140625,2.2949219,2.5341797,1.0864258,1.4208984,1.9628906
19.85023438,2.1240234,2.541504,1.0864258,1.4208984,1.8188477
19.75257813,2.5585938,2.5292969,1.0864258,1.4208984,2.2680664
19.80140625,3.3447266,2.541504,1.0864258,1.4208984,3.2080078
19.75257813,3.696289,2.541504,1.0864258,1.4208984,3.647461
19.80140625,3.6791992,2.5463867,1.0864258,1.4208984,3.6376953
19.75257813,3.6889648,2.5463867,1.0864258,1.4208984,3.6450195
19.80140625,3.737793,2.5463867,1.0864258,1.4208984,3.6938477
19.80140625,3.7329102,2.5439453,1.0864258,1.4233398,3.6938477
